type_name,TA,SUP,FISH,PLASTIC,RUBBER,CLOTH,PAPER,WOOD,METAL,GLASS,POTTERY,SAN,MED,WAXPOL,OTHERPOL
plastic: yokes [1],x,,,x,,,,,,,,,,,
plastic: bags [2],x,x,,x,,,,,,,,,,,
plastic: small_bags [3],x,x,,x,,,,,,,,,,,
plastic: bag_ends [112],x,x,,x,,,,,,,,,,,
plastic: drinks [4],x,x,,x,,,,,,,,,,,
plastic: cleaner [5],x,x,,x,,,,,,,,,,,
plastic: food [6],x,x,,x,,,,,,,,,,,
plastic: toiletries [7],x,x,,x,,,,,,,,,,,
plastic: oil_small [8],x,,,x,,,,,,,,,,,
plastic: oil_large [9],x,,,x,,,,,,,,,,,
plastic: jerry_cans [10],x,,,x,,,,,,,,,,,
plastic: injection_gun [11],x,,,x,,,,,,,,,,,
plastic: other_bottles [12],x,x,,x,,,,,,,,,,,
plastic: crates [13],x,,,x,,,,,,,,,,,
plastic: car_parts [14],x,,,x,,,,,,,,,,,
plastic: caps [15],x,x,,x,,,,,,,,,,,
plastic: cigarettelighters [16],x,,,x,,,,,,,,,,,
plastic: pens [17],x,,,x,,,,,,,,,,,
plastic: combs [18],x,,,x,,,,,,,,,,,
plastic: crisp [19],x,x,,x,,,,,,,,,,,
plastic: toys [20],x,,,x,,,,,,,,,,,
plastic: cups [21],x,x,,x,,,,,,,,,,,
plastic: cutlery [22],x,x,,x,,,,,,,,,,,
plastic: fertiliser [23],x,,,x,,,,,,,,,,,
plastic: meshbags [24],x,,,x,,,,,,,,,,,
plastic: gloves [25],x,,,x,,,,,,,,,,,
plastic: gloves_pro [113],x,,,x,,,,,,,,,,,
plastic: lobsterpots [26],x,,x,x,,,,,,,,,,,
plastic: fish_tags [114],x,,x,x,,,,,,,,,,,
plastic: octopus_pots [27],x,,x,x,,,,,,,,,,,
plastic: oyster_nets [28],x,,x,x,,,,,,,,,,,
plastic: oyster_trays [29],x,,x,x,,,,,,,,,,,
plastic: mussel_sheeting [30],x,,x,x,,,,,,,,,,,
plastic: rope [31],x,,x,x,,,,,,,,,,,
plastic: string [32],x,,x,x,,,,,,,,,,,
plastic: fishing_net_small [115],x,,x,x,,,,,,,,,,,
plastic: fishing_net_large [116],x,,x,x,,,,,,,,,,,
plastic: tangled [33],x,,x,x,,,,,,,,,,,
plastic: fishboxes [34],x,,x,x,,,,,,,,,,,
plastic: fishing_line [35],x,,x,x,,,,,,,,,,,
plastic: light_sticks [36],x,,x,x,,,,,,,,,,,
plastic: floats [37],x,,x,x,,,,,,,,,,,
plastic: buckets [38],x,,,x,,,,,,,,,,,
plastic: strapping [39],x,,,x,,,,,,,,,,,
plastic: industrial [40],x,,,x,,,,,,,,,,,
plastic: fibre_glass [41],x,,,x,,,,,,,,,,,
plastic: hard_hats [42],x,,,x,,,,,,,,,,,
plastic: shotgun [43],x,,,x,,,,,,,,,,,
plastic: shoes [44],x,,,x,,,,,,,,,,,
plastic: foam_sponge [45],x,,,x,,,,,,,,,,,
plastic: plastic_small [117],x,,,x,,,,,,,,,,,
plastic: plastic_large [46],x,,,x,,,,,,,,,,,
plastic: plastic_vlarge [47],x,,,x,,,,,,,,,,,
plastic: other [48],x,,,x,,,,,,,,,,,
rubber: balloons [49],x,x,,,x,,,,,,,,,,
rubber: boots [50],x,,,,x,,,,,,,,,,
rubber: tyres [52],x,,,,x,,,,,,,,,,
rubber: other [53],x,,,,x,,,,,,,,,,
cloth: clothing [54],x,,,,,x,,,,,,,,,
cloth: furnishings [55],x,,,,,x,,,,,,,,,
cloth: sacking [56],x,,,,,x,,,,,,,,,
cloth: shoes [57],x,,,,,x,,,,,,,,,
cloth: other [59],x,,,,,x,,,,,,,,,
paper: bags [60],x,,,,,,x,,,,,,,,
paper: cardboard [61],x,,,,,,x,,,,,,,,
paper: purepak [118],x,,,,,,x,,,,,,,,
paper: tetrapak [62],x,,,,,,x,,,,,,,,
paper: cig_packets [63],x,,,,,,x,,,,,,,,
paper: cig_stubs [64],x,x,,,,,x,,,,,,,,
paper: cups [65],x,,,,,,x,,,,,,,,
paper: newspapers [66],x,,,,,,x,,,,,,,,
paper: other [67],x,,,,,,x,,,,,,,,
wood: corks [68],x,,,,,,,x,,,,,,,
wood: pallets [69],x,,,,,,,x,,,,,,,
wood: crates [70],x,,,,,,,x,,,,,,,
wood: lobsterpots [71],x,,x,,,,,x,,,,,,,
wood: fish_boxes [119],x,,x,,,,,x,,,,,,,
wood: lolly [72],x,,,,,,,x,,,,,,,
wood: brushes [73],x,,,,,,,x,,,,,,,
wood: other_small [74],x,,,,,,,x,,,,,,,
wood: other_large [75],x,,,,,,,x,,,,,,,
metal: aerosol [76],x,,,,,,,,x,,,,,,
metal: caps [77],x,,,,,,,,x,,,,,,
metal: drink [78],x,,,,,,,,x,,,,,,
metal: bbqs [120],x,,,,,,,,x,,,,,,
metal: electrical [79],x,,,,,,,,x,,,,,,
metal: fishing [80],x,,,,,,,,x,,,,,,
metal: foil [81],x,,,,,,,,x,,,,,,
metal: food [82],x,,,,,,,,x,,,,,,
metal: scrap [83],x,,,,,,,,x,,,,,,
metal: oil [84],x,,,,,,,,x,,,,,,
metal: paint_tins [86],x,,,,,,,,x,,,,,,
metal: lobsterpots [87],x,,,,,,,,x,,,,,,
metal: wire [88],x,,,,,,,,x,,,,,,
metal: other_small [89],x,,,,,,,,x,,,,,,
metal: other_large [90],x,,,,,,,,x,,,,,,
glass: bottles [91],x,,,,,,,,,x,,,,,
glass: bulbs [92],x,,,,,,,,,x,,,,,
glass: other [93],x,,,,,,,,,x,,,,,
pottery: construction [94],x,,,,,,,,,,x,,,,
pottery: octopus_pots [95],x,,x,,,,,,,,x,,,,
pottery: other [96],x,,,,,,,,,,x,,,,
san: condoms [97],x,,,,,,,,,,,x,,,
san: buds [98],x,x,,,,,,,,,,x,,,
san: towels [99],x,x,,,,,,,,,,x,,,
san: tampons [100],x,x,,,,,,,,,,x,,,
san: toilet [101],x,x,,,,,,,,,,x,,,
san: other [102],x,x,,,,,,,,,,x,,,
med: containers [103],x,,,,,,,,,,,,x,,
med: syringes [104],x,,,,,,,,,,,,x,,
med: other [105],x,,,,,,,,,,,,x,,
survey: old_rope_small [200],x,,,,,,,,,,,,,,
survey: old_rope_large [201],x,,,,,,,,,,,,,,
survey: old_plastic_pieces [202],x,,,,,,,,,,,,,,
