type_name,TA,SUP,FISH,PLASTIC,RUBBER,CLOTH,PAPER,WOOD,METAL,GLASS,POTTERY,SAN,MED,WAXPOL,OTHERPOL
survey: old_gloves [203],x,,,,,,,,,,,,,,
survey: old_cartons [204],x,,,,,,,,,,,,,,
survey: old_oildrums_new [205],x,,,,,,,,,,,,,,
survey: old_oildrums_old [206],x,,,,,,,,,,,,,,
survey: old_human_faeces [207],x,,,,,,,,,,,,,,
survey: old_animal_faeces [208],x,,,,,,,,,,,,,,
survey: old_cloth_rope [210],x,,,,,,,,,,,,,,
Pollutants: Wax_small [108],,,,,,,,,,,,,,x,
Pollutants: Wax_medium [109],,,,,,,,,,,,,,x,
Pollutants: Wax_large [110],,,,,,,,,,,,,,x,
Pollutants: Other [111],,,,,,,,,,,,,,,x
Faeces: In_bags [121],x,x,,x,,,,,,,,,,,
