region_name,country_code,country_name,location_code,location_name,date,type_name,abundance
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-01-27,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-04-20,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-07-22,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-10-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-02-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-04-11,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-07-20,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-10-16,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-01-08,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-04-23,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-07-01,Plastic: Yokes [1],1
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-10-16,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-01-06,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-04-22,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-07-16,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-10-29,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-12-30,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2016-04-29,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2016-07-05,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2016-10-25,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-02-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-04-28,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-07-17,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-10-11,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2012-01-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2012-04-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2012-07-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2012-10-07,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2013-02-21,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2013-04-24,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2013-06-15,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2013-10-17,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2014-01-07,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2014-04-24,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2014-06-25,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2014-10-23,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2015-01-22,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2015-04-30,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2015-07-14,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2015-10-20,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2016-01-14,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2016-04-13,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2016-06-22,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2016-10-10,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2017-01-05,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2017-04-20,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2017-07-06,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2017-10-16,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2012-01-10,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2012-04-24,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2012-07-25,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2012-10-09,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2013-03-06,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2013-04-17,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2013-07-15,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2013-10-22,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2014-01-29,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2014-05-08,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2014-07-09,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2014-10-28,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2015-01-20,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2015-04-25,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2015-07-19,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2015-10-27,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2016-01-20,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2016-04-28,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2016-07-21,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2016-10-17,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2017-01-06,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2017-04-27,Plastic: Yokes [1],0
North East Atlantic Ocean,NL,Netherlands,NL003,Veere,2017-07-18,Plastic: Yokes [1],0
