spatial_code,from,to,type_name,%TC,mean,median,cv,rmad,n,slope,p_value
Terschelling,2012-04-27,2017-10-18,GLASS,2.03,5.83,3,1.18,0.988,23,0.443,0.138
Terschelling,2012-04-27,2017-10-18,METAL,1.21,3.3,3,0.891,0.988,23,0,0.426
Terschelling,2012-04-27,2017-10-18,PAPER,1.15,3.26,3,0.833,1.48,23,0,0.468
Terschelling,2012-04-27,2017-10-18,WOOD,0.948,2.26,1,1.18,1.48,23,0,0.787
Terschelling,2012-04-27,2017-10-18,SAN,0.892,3.17,3,1.04,0.988,23,-0.307,0.133
Terschelling,2012-04-27,2017-10-18,CLOTH,0.857,1.65,1,1.04,1.48,23,0,0.689
Terschelling,2012-04-27,2017-10-18,POTTERY,0.778,2.65,0,2.36,NaN,23,0,0.982
Terschelling,2012-04-27,2017-10-18,MED,0.0241,0.087,0,3.31,NaN,23,0,0.96
Veere,2012-01-10,2017-10-12,TC,100,231,164,0.689,0.829,24,-28.2,0.035
Veere,2012-01-10,2017-10-12,PLASTIC,89.4,210,148,0.715,0.764,24,-23.8,0.035
Veere,2012-01-10,2017-10-12,FISH,43,106,68,0.862,0.676,24,-19.6,0.0075
Veere,2012-01-10,2017-10-12,plastic: string [32],29.3,74.2,50.5,0.923,0.837,24,-9.7,0.0331
Veere,2012-01-10,2017-10-12,SUP,21,44.5,34.5,0.604,0.688,24,-7.11,0.0457
Veere,2012-01-10,2017-10-12,plastic: plastic_small [117],10,23.8,17.5,0.979,0.89,24,-0.351,0.451
Veere,2012-01-10,2017-10-12,plastic: plastic_large [46],7.95,20.5,15,0.845,0.692,24,-2.13,0.0555
Veere,2012-01-10,2017-10-12,plastic: foam_sponge [45],5.97,11.1,8,1.07,0.556,24,0.555,0.148
Veere,2012-01-10,2017-10-12,plastic: caps [15],5.07,11.5,12,0.681,0.618,24,-2.34,0.00583
Veere,2012-01-10,2017-10-12,plastic: tangled [33],4.92,10.3,6,0.869,0.741,24,-1.39,0.0376
Veere,2012-01-10,2017-10-12,plastic: fishing_net_small [115],4.83,12.1,7,1.25,1.27,24,-4.12,4.22e-4
Veere,2012-01-10,2017-10-12,plastic: crisp [19],3.48,6.92,6,0.772,0.741,24,0,0.421
Veere,2012-01-10,2017-10-12,RUBBER,3.14,6.83,6,0.683,0.741,24,-1.03,0.0476
Veere,2012-01-10,2017-10-12,SAN,2.72,6.67,3,1.16,1.48,24,-1.33,0.0353
Veere,2012-01-10,2017-10-12,san: buds [98],2.35,5.88,3,1.25,1.48,24,-1.34,0.0182
Veere,2012-01-10,2017-10-12,rubber: balloons [49],2.34,5.75,4.5,0.815,0.824,24,-1.26,0.0107
Veere,2012-01-10,2017-10-12,WOOD,1.7,3.04,2,0.981,1.11,24,0,0.51
Veere,2012-01-10,2017-10-12,PAPER,1.33,2.21,1,1.03,1.48,24,0,0.459
Veere,2012-01-10,2017-10-12,METAL,0.632,1.08,1,1.05,1.48,24,0,0.84
Veere,2012-01-10,2017-10-12,CLOTH,0.602,1,0.5,1.22,1.48,24,0,0.135
Veere,2012-01-10,2017-10-12,GLASS,0.279,0.5,0,1.77,NaN,24,0,0.754
Veere,2012-01-10,2017-10-12,MED,0.122,0.0833,0,3.39,NaN,24,0,0.97
Veere,2012-01-10,2017-10-12,POTTERY,0.0336,0.0417,0,4.9,NaN,24,0,0.787
