location_code,from,to,type/group_name,%TC,mean,median,cv,rmad,n,slope,p_value
NL001,2012-01-27,2017-10-11,TC,100,376.6,302.5,0.731,0.7793,24,39.98,0.1233
NL001,2012-01-27,2017-10-11,PLASTIC,88.8,341.2,269.5,0.7574,0.8472,24,35.57,0.1134
NL001,2012-01-27,2017-10-11,FISH,41.36,162.4,104.5,0.8622,0.9506,24,13.03,0.1233
NL001,2012-01-27,2017-10-11,plastic: string [32],27.88,119.8,78,0.9669,1.255,24,17.01,0.0370
NL001,2012-01-27,2017-10-11,SUP,25.38,91.38,73,0.7284,0.7819,24,5.373,0.2230
NL001,2012-01-27,2017-10-11,plastic: plastic_small [117],9.473,42.46,21.5,1.166,1.103,24,3.121,0.2134
NL001,2012-01-27,2017-10-11,plastic: plastic_large [46],8.04,24.71,17.5,0.7851,0.5083,24,0.6599,0.4212
NL001,2012-01-27,2017-10-11,plastic: fishing_net_small [115],7.525,23.25,4,1.544,1.483,24,-2.283,0.0395
NL001,2012-01-27,2017-10-11,plastic: caps [15],4.978,20.42,16,1.034,0.7413,24,2.312,0.0940
NL001,2012-01-27,2017-10-11,RUBBER,4.75,15,13.5,0.7379,0.6589,24,0.941,0.2061
NL001,2012-01-27,2017-10-11,plastic: crisp [19],4.248,16.75,8,1.012,0.9266,24,0.2435,0.2821
NL001,2012-01-27,2017-10-11,rubber: balloons [49],4.214,13.21,11.5,0.7788,0.7091,24,0,0.5691
NL001,2012-01-27,2017-10-11,plastic: small_bags [3],3.418,10.83,9,0.7179,0.8237,24,-0.1418,0.4114
NL001,2012-01-27,2017-10-11,plastic: foam_sponge [45],3.112,14.38,8,1.159,1.019,24,1.016,0.1718
NL001,2012-01-27,2017-10-11,plastic: industrial [40],3.06,10.96,6.5,1.011,1.026,24,1.581,0.0309
NL001,2012-01-27,2017-10-11,SAN,1.535,6.5,5,1.223,1.186,24,0.0914,0.3084
NL001,2012-01-27,2017-10-11,WOOD,1.432,3.5,3,1.028,0.9884,24,0.5716,0.0315
NL001,2012-01-27,2017-10-11,PAPER,1.086,3.417,2.5,0.8364,0.8896,24,0,0.4302
NL001,2012-01-27,2017-10-11,GLASS,0.9776,2.333,2.5,0.8906,1.186,24,0,0.5909
NL001,2012-01-27,2017-10-11,METAL,0.7031,2.167,2,0.9783,0.7413,24,0,0.6854
NL001,2012-01-27,2017-10-11,CLOTH,0.6464,2.042,2,1.085,0.7413,24,0,0.2457
NL001,2012-01-27,2017-10-11,MED,0.06157,0.4167,0,2.443,"NA",24,0,0.9828
NL001,2012-01-27,2017-10-11,POTTERY,0.009601,0.04167,0,4.899,"NA",24,0,0.7866
NL002,2012-01-19,2017-10-16,TC,100,346.9,254.5,0.8156,0.3554,24,-16.03,0.2086
NL002,2012-01-19,2017-10-16,PLASTIC,88.92,311.7,225,0.8476,0.3855,24,-15.86,0.2230
NL002,2012-01-19,2017-10-16,FISH,40.03,143,106.5,0.9922,0.703,24,-8.581,0.2209
NL002,2012-01-19,2017-10-16,plastic: string [32],29.81,109.2,55.5,1.208,0.6545,24,1.775,0.3749
NL002,2012-01-19,2017-10-16,SUP,24.28,81.67,67,0.739,0.6196,24,-7.184,0.1072
NL002,2012-01-19,2017-10-16,plastic: plastic_small [117],10.3,35.54,22,0.9476,0.9772,24,-2.452,0.1924
NL002,2012-01-19,2017-10-16,plastic: plastic_large [46],8.227,33.21,21,1.579,0.8472,24,-4.075,0.0135
NL002,2012-01-19,2017-10-16,plastic: foam_sponge [45],5.346,17.88,14.5,0.9453,1.074,24,0.4733,0.3733
NL002,2012-01-19,2017-10-16,plastic: caps [15],5.245,18.62,15.5,0.9047,0.7652,24,-0.6577,0.2923
NL002,2012-01-19,2017-10-16,plastic: fishing_net_small [115],4.868,15.96,4,1.612,1.483,24,-3.387,0.0073
NL002,2012-01-19,2017-10-16,plastic: crisp [19],4.409,14.92,11,1.16,0.7413,24,-1.207,0.2130
NL002,2012-01-19,2017-10-16,RUBBER,3.599,13.21,10.5,0.8738,0.7766,24,-1.427,0.1263
NL002,2012-01-19,2017-10-16,rubber: balloons [49],3.299,12.17,9,0.8864,0.8237,24,-1.146,0.1065
