location_code,from,to,type/group_name,%TC,mean,median,cv,rmad,n,slope,p_value
NL002,2012-01-19,2017-10-16,plastic: industrial [40],2.798,8.417,5,0.9282,1.186,24,0.7884,0.2126
NL002,2012-01-19,2017-10-16,plastic: tangled [33],2.75,8.875,6,1.183,1.359,24,-0.4086,0.3086
NL002,2012-01-19,2017-10-16,SAN,1.846,6.958,4.5,1.319,0.4942,24,-0.3823,0.1402
NL002,2012-01-19,2017-10-16,PAPER,1.605,4.5,3.5,1.192,0.8472,24,0,0.4598
NL002,2012-01-19,2017-10-16,GLASS,1.342,2.958,3,0.7425,0.4942,24,0.2415,0.0944
NL002,2012-01-19,2017-10-16,WOOD,1.147,3.417,3,1.067,0.7413,24,0,0.7266
NL002,2012-01-19,2017-10-16,METAL,0.7627,2.125,2,0.9745,1.483,24,-0.46,0.0312
NL002,2012-01-19,2017-10-16,CLOTH,0.5803,1.542,1,1.03,1.483,24,0,0.6506
NL002,2012-01-19,2017-10-16,MED,0.1027,0.25,0,2.126,"NA",24,0,0.9358
NL002,2012-01-19,2017-10-16,POTTERY,0.09721,0.25,0,2.126,"NA",24,0,0.8117
NL003,2012-01-10,2017-10-12,TC,100,231.3,164.5,0.6888,0.8292,24,-28.23,0.0350
NL003,2012-01-10,2017-10-12,PLASTIC,89.44,209.9,148.5,0.7145,0.7638,24,-23.83,0.0350
NL003,2012-01-10,2017-10-12,FISH,42.98,106.1,68,0.862,0.6759,24,-19.58,0.0075
NL003,2012-01-10,2017-10-12,plastic: string [32],29.28,74.25,50.5,0.9229,0.8367,24,-9.7,0.0331
NL003,2012-01-10,2017-10-12,SUP,21.02,44.46,34.5,0.6045,0.6876,24,-7.112,0.0457
NL003,2012-01-10,2017-10-12,plastic: plastic_small [117],10.03,23.79,17.5,0.9793,0.8896,24,-0.3509,0.4506
NL003,2012-01-10,2017-10-12,plastic: plastic_large [46],7.951,20.5,15,0.8447,0.6919,24,-2.133,0.0555
NL003,2012-01-10,2017-10-12,plastic: foam_sponge [45],5.97,11.08,8,1.069,0.556,24,0.5547,0.1476
NL003,2012-01-10,2017-10-12,plastic: caps [15],5.073,11.54,12,0.6808,0.6177,24,-2.335,0.0058
NL003,2012-01-10,2017-10-12,plastic: tangled [33],4.919,10.33,6,0.8687,0.7413,24,-1.393,0.0376
NL003,2012-01-10,2017-10-12,plastic: fishing_net_small [115],4.828,12.12,7,1.247,1.271,24,-4.12,0.0004
NL003,2012-01-10,2017-10-12,plastic: crisp [19],3.482,6.917,6,0.772,0.7413,24,0,0.4211
NL003,2012-01-10,2017-10-12,RUBBER,3.136,6.833,6,0.6832,0.7413,24,-1.031,0.0476
NL003,2012-01-10,2017-10-12,SAN,2.722,6.667,3,1.159,1.483,24,-1.332,0.0353
NL003,2012-01-10,2017-10-12,san: buds [98],2.348,5.875,3,1.248,1.483,24,-1.34,0.0182
NL003,2012-01-10,2017-10-12,rubber: balloons [49],2.339,5.75,4.5,0.8145,0.8237,24,-1.258,0.0107
NL003,2012-01-10,2017-10-12,WOOD,1.695,3.042,2,0.9814,1.112,24,0,0.5101
NL003,2012-01-10,2017-10-12,PAPER,1.335,2.208,1,1.026,1.483,24,0,0.4590
NL003,2012-01-10,2017-10-12,METAL,0.6323,1.083,1,1.051,1.483,24,0,0.8405
NL003,2012-01-10,2017-10-12,CLOTH,0.6019,1,0.5,1.216,1.483,24,0,0.1354
NL003,2012-01-10,2017-10-12,GLASS,0.2793,0.5,0,1.769,"NA",24,0,0.7536
NL003,2012-01-10,2017-10-12,MED,0.1224,0.08333,0,3.388,"NA",24,0,0.9699
NL003,2012-01-10,2017-10-12,POTTERY,0.0336,0.04167,0,4.899,"NA",24,0,0.7866
NL004,2012-04-27,2017-10-18,TC,100,299.3,252,0.6051,0.7942,23,-35.63,0.0358
NL004,2012-04-27,2017-10-18,PLASTIC,88.23,265.3,227,0.6189,0.7642,23,-35.47,0.0362
NL004,2012-04-27,2017-10-18,FISH,45.43,139.2,129,0.6554,0.8275,23,-19.43,0.0806
NL004,2012-04-27,2017-10-18,plastic: string [32],30.84,87.35,82,0.8653,0.904,23,5.322,0.2461
NL004,2012-04-27,2017-10-18,SUP,21.18,61.17,55,0.5793,0.62,23,-8.901,0.0151
NL004,2012-04-27,2017-10-18,plastic: fishing_net_small [115],9.064,36.74,5,1.716,1.483,23,-3.132,0.0526
NL004,2012-04-27,2017-10-18,plastic: plastic_large [46],8.872,26.43,22,0.709,0.8761,23,-7.783,0.0035
NL004,2012-04-27,2017-10-18,plastic: plastic_small [117],5.779,18.57,11,1.272,1.213,23,0.9985,0.2133
NL004,2012-04-27,2017-10-18,plastic: caps [15],4.436,15.09,11,0.8439,0.9435,23,-1.716,0.1696
NL004,2012-04-27,2017-10-18,plastic: industrial [40],4.218,12.57,12,0.7801,0.7413,23,-1.363,0.0971
NL004,2012-04-27,2017-10-18,RUBBER,3.886,11.83,9,0.757,0.6589,23,-2.007,0.0397
NL004,2012-04-27,2017-10-18,plastic: crisp [19],3.842,9.826,9,0.636,0.8237,23,1.143,0.0719
NL004,2012-04-27,2017-10-18,rubber: balloons [49],3.559,10.65,8,0.7455,0.7413,23,-2.139,0.0216
NL004,2012-04-27,2017-10-18,plastic: tangled [33],3.506,8.304,8,0.8024,0.556,23,-1.209,0.0379
NL004,2012-04-27,2017-10-18,plastic: foam_sponge [45],3.183,10.43,6,0.998,0.9884,23,-1.568,0.1014
NL004,2012-04-27,2017-10-18,GLASS,2.027,5.826,3,1.18,0.9884,23,0.4433,0.1377
NL004,2012-04-27,2017-10-18,METAL,1.208,3.304,3,0.8914,0.9884,23,0,0.4256
NL004,2012-04-27,2017-10-18,PAPER,1.151,3.261,3,0.8333,1.483,23,0,0.4679
NL004,2012-04-27,2017-10-18,WOOD,0.9478,2.261,1,1.179,1.483,23,0,0.7869
NL004,2012-04-27,2017-10-18,SAN,0.8924,3.174,3,1.039,0.9884,23,-0.3072,0.1328
NL004,2012-04-27,2017-10-18,CLOTH,0.8572,1.652,1,1.042,1.483,23,0,0.6892
NL004,2012-04-27,2017-10-18,POTTERY,0.7777,2.652,0,2.365,"NA",23,0,0.9821
NL004,2012-04-27,2017-10-18,MED,0.02414,0.08696,0,3.313,"NA",23,0,0.9596
